City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
327,Necochea,AR,-38.5473,-58.7368,60.76,68,100,11.43,light rain
328,Strabychovo,UA,48.3925,22.5431,50.76,94,21,2.42,few clouds
329,Bozuyuk,TR,39.9078,30.0367,51.58,46,6,3.74,clear sky
330,Salinas,US,36.6777,-121.6555,56.41,74,0,10.36,clear sky
331,Saldanha,ZA,-33.0117,17.9442,50.05,86,37,7.81,scattered clouds
332,Mahmudabad,IN,27.3,81.1167,75.56,46,0,3.31,clear sky
333,Zyryanka,RU,65.75,150.85,21.15,83,93,2.53,overcast clouds
334,Yatou,CN,37.15,122.3833,60.89,49,100,10.58,overcast clouds
335,Umuahia,NG,5.5263,7.4896,71.85,98,100,2.84,overcast clouds
336,Hofn,IS,64.2539,-15.2082,42.49,81,100,13.22,overcast clouds
337,Marquette,US,46.5333,-87.6335,42.33,74,100,10.09,overcast clouds
338,Aiken,US,33.5835,-81.5998,64.33,78,40,6.91,scattered clouds
339,Ribeira Grande,PT,38.5167,-28.7,63.77,66,72,11.99,broken clouds
340,Victor Harbor,AU,-35.5667,138.6167,64.99,75,98,1.99,overcast clouds
341,Phalombe,MW,-15.8064,35.6507,76.77,43,3,2.82,clear sky
342,Tiksi,RU,71.6872,128.8694,17.64,87,100,16.28,overcast clouds
343,Gizo,SB,-8.103,156.8419,84.76,67,46,3.71,scattered clouds
344,Poum,NC,-20.2333,164.0167,77.02,76,2,7.76,clear sky
345,Salalah,OM,17.0151,54.0924,78.89,50,0,1.14,clear sky
